Date,Term,Value
2013-01-15,1095,0.008313056932533227
2013-01-15,1460,0.009693577691834411
2013-01-15,1825,0.011414287013139672
2013-01-15,2190,0.013268252005473125
2013-01-15,2555,0.015212088243001817
2013-01-15,2920,0.017156969049213305
2013-01-15,3285,0.019010221670429716
2013-01-15,3650,0.02076093735411401
2013-01-15,4380,0.023658978219340283
2013-01-15,5475,0.026831883430972904
2013-01-15,7300,0.030094243750301657
2013-01-15,9125,0.031757810439025334
2013-01-15,10950,0.03246041393200445
2013-01-15,14600,0.03315729204231528
2013-01-15,18250,0.03303988495684341
2013-01-16,0,0.0066610152946642515
2013-01-16,1,0.006661070197718944
2013-01-16,2,0.006661235127828065
2013-01-16,7,0.006663556373940833
2013-01-16,14,0.006666733001935652
2013-01-16,30,0.0066612373255594114
2013-01-16,61,0.006639697070815017
2013-01-16,91,0.006619000586831076
2013-01-16,122,0.006599740587795285
2013-01-16,152,0.006583532306202296
2013-01-16,182,0.006569837460970673
2013-01-16,213,0.006558381765083903
2013-01-16,243,0.006555850698079073
2013-01-16,273,0.006579128401775947
2013-01-16,304,0.006604072043200763
2013-01-16,335,0.006630127426632044
2013-01-16,365,0.006650057286576585
2013-01-16,395,0.006670414773237957
2013-01-16,425,0.0066941435643775755
2013-01-16,456,0.0067232801810872805
2013-01-16,486,0.006756726243424237
2013-01-16,516,0.006795923947643157
2013-01-16,547,0.0068429508948026265
2013-01-16,577,0.006894784069663583
2013-01-16,607,0.006951608361058352
2013-01-16,638,0.007014234384294816
2013-01-16,668,0.007077563154888741
2013-01-16,698,0.0071427094887050865
2013-01-16,730,0.007213404728247074
2013-01-16,1095,0.008149098262145682
2013-01-16,1460,0.009471817445753369
2013-01-16,1825,0.011133667595507183
2013-01-16,2190,0.01298551322159599
2013-01-16,2555,0.014913322272065916
2013-01-16,2920,0.016882382662670052
2013-01-16,3285,0.018709615810473482
2013-01-16,3650,0.020445568640149254
2013-01-16,4380,0.02335442812011993
2013-01-16,5475,0.02656780976374763
2013-01-16,7300,0.029805341905457004
2013-01-16,9125,0.0315313229750244
2013-01-16,10950,0.0322717964729528
2013-01-16,14600,0.03299662579929592
2013-01-16,18250,0.032894943265287906
2013-01-17,0,0.00661766462708028
2013-01-17,1,0.006617477187753009
2013-01-17,2,0.006616914117079383
2013-01-17,7,0.0066117040943169236
2013-01-17,14,0.006625464730115257
2013-01-17,30,0.0066337766544032695
2013-01-17,61,0.006626141720125486
2013-01-17,91,0.0066177854394919005
2013-01-17,122,0.0066123555446090335
2013-01-17,152,0.006610996748910733
