Date,Term,Value
2013-01-10,2,0.004073829235418815
2013-01-10,7,0.004074814702791626
2013-01-10,14,0.004076935617065187
2013-01-10,30,0.00407527035677163
2013-01-10,61,0.0040529564853201095
2013-01-10,91,0.004033299919070361
2013-01-10,122,0.004009304989246702
2013-01-10,152,0.003982791928442619
2013-01-10,182,0.00395961972505028
2013-01-10,213,0.003949787200205275
2013-01-10,243,0.0039352292132805436
2013-01-10,273,0.003921743218533124
2013-01-10,304,0.0039166262160624105
2013-01-10,335,0.003918029483299101
2013-01-10,365,0.003924584883925138
2013-01-10,395,0.00393613446214662
2013-01-10,425,0.003952594743390638
2013-01-10,456,0.00397469752636974
2013-01-10,486,0.0040009694807273425
2013-01-10,516,0.004032007915827525
2013-01-10,547,0.004069059320622227
2013-01-10,577,0.0041097110279921375
2013-01-10,607,0.004155062103943903
2013-01-10,638,0.004206846939218097
2013-01-10,668,0.004261712776381723
2013-01-10,698,0.004321242606078858
2013-01-10,730,0.004389872956992652
2013-01-10,1095,0.005451012929467684
2013-01-10,1460,0.006885064247707052
2013-01-10,1825,0.008727660378906835
2013-01-10,2190,0.010687261364962806
2013-01-10,2555,0.01273141666469848
2013-01-10,2920,0.014821741008696591
2013-01-10,3285,0.01674019353481599
2013-01-10,3650,0.01857420244430598
2013-01-10,4380,0.02161798762183097
2013-01-10,5475,0.024945608537678878
2013-01-10,7300,0.028463764270549342
2013-01-10,9125,0.030387290929069437
2013-01-10,10950,0.031246923473006994
2013-01-10,14600,0.032389270178304334
2013-01-10,18250,0.0324782118762663
2013-01-11,0,0.0040190510991952415
2013-01-11,1,0.004019066749104307
2013-01-11,2,0.004019113763014611
2013-01-11,7,0.004019818971767892
2013-01-11,14,0.004021660880396097
2013-01-11,30,0.004025511176552426
2013-01-11,61,0.004028710619926133
2013-01-11,91,0.004026414660748826
2013-01-11,122,0.004019334516741883
2013-01-11,152,0.00400823976407159
2013-01-11,182,0.003996796451109772
2013-01-11,213,0.003991847763736413
2013-01-11,243,0.003984212009839459
2013-01-11,273,0.003979073673978936
2013-01-11,304,0.0039759103306796625
2013-01-11,335,0.003976333658609078
2013-01-11,365,0.003980629390726467
2013-01-11,395,0.003988871165139917
2013-01-11,425,0.004001170628984164
2013-01-11,456,0.004018230028665205
2013-01-11,486,0.004039012080770889
2013-01-11,516,0.004064044719423801
2013-01-11,547,0.004094416174724336
2013-01-11,577,0.004128196762515521
2013-01-11,607,0.004166317699283448
2013-01-11,638,0.004210289028342239
2013-01-11,668,0.004257289672663152
2013-01-11,698,0.004308677981381008
2013-01-11,730,0.004368340249328276
2013-01-11,1095,0.005366801067597034
2013-01-11,1460,0.0068476590341308196
2013-01-11,1825,0.008664941284888459
2013-01-11,2190,0.010598748834726038
2013-01-11,2555,0.012604989624120192
2013-01-11,2920,0.014685669366933522
2013-01-11,3285,0.01658434187249953
2013-01-11,3650,0.018403789426710955
2013-01-11,4380,0.02143851256504111
2013-01-11,5475,0.024757516066224006
2013-01-11,7300,0.02829014045020333
2013-01-11,9125,0.030231208284104662
2013-01-11,10950,0.031069144153594293
2013-01-11,14600,0.03213966326749068
2013-01-11,18250,0.03218026997180526
2013-01-14,0,0.004019084150521401
2013-01-14,1,0.004019099126817962
2013-01-14,2,0.004019144117136449
2013-01-14,7,0.004019818971767886
2013-01-14,14,0.004021596211104322
2013-01-14,30,0.00402550804423169
2013-01-14,61,0.004029867284409727
2013-01-14,91,0.004029680096492313
2013-01-14,122,0.004024883089220773
2013-01-14,152,0.004016800672550617
2013-01-14,182,0.004008501805577612
2013-01-14,213,0.004001665159066114
2013-01-14,243,0.003996940418242469
2013-01-14,273,0.003992533488916989
2013-01-14,304,0.003989863966295783
2013-01-14,335,0.003989615685233143
2013-01-14,365,0.003993016783041853
2013-01-14,395,0.0040004746332966854
2013-01-14,425,0.00401187285703178
2013-01-14,456,0.004027634879633535
2013-01-14,486,0.004046630616491387
2013-01-14,516,0.00406922195360477
2013-01-14,547,0.004096274153229078
2013-01-14,577,0.004125988712677328
2013-01-14,607,0.004159138436170232
2013-01-14,638,0.004196966383209956
2013-01-14,668,0.004237003831615931
2013-01-14,698,0.0042803918752032395
2013-01-14,730,0.004330344302599379
2013-01-14,1095,0.005204259554300869
2013-01-14,1460,0.00663820037174331
2013-01-14,1825,0.008420952736899445
2013-01-14,2190,0.010385103846333475
2013-01-14,2555,0.012402597683710503
2013-01-14,2920,0.01441763614856997
2013-01-14,3285,0.016342014199389333
2013-01-14,3650,0.018150806286758383
2013-01-14,4380,0.02117268163596523
2013-01-14,5475,0.0244808689281108
2013-01-14,7300,0.02797627388840274
2013-01-14,9125,0.029843051906078367
2013-01-14,10950,0.03072420398289521
2013-01-14,14600,0.03172307145458347
2013-01-14,18250,0.03177374653054932
2013-01-15,0,0.004049469232703749
2013-01-15,1,0.004049476313351669
2013-01-15,2,0.004049497584429402
2013-01-15,7,0.004049816650428142
2013-01-15,14,0.004050639919315701
2013-01-15,30,0.004052225052236743
2013-01-15,61,0.004052364163340037
